NAME : ja9847
COMMENT : 9847 locations in Japan
COMMENT : Derived from National Imagery and Mapping Agency data
TYPE : TSP
DIMENSION : 9847
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 24050.0000 123783.3333
2 24216.6667 123933.3333
3 24233.3333 123950.0000
4 24233.3333 124016.6667
5 24250.0000 123866.6667
6 24300.0000 123683.3333
7 24316.6667 123900.0000
8 24316.6667 124083.3333
9 24333.3333 123733.3333
10 24333.3333 123983.3333
11 24333.3333 124150.0000
12 24333.3333 124200.0000
13 24350.0000 123733.3333
14 24350.0000 123750.0000
15 24350.0000 124216.6667
16 24350.0000 124233.3333
17 24383.3333 123750.0000
18 24383.3333 124150.0000
19 24400.0000 123833.3333
20 24416.6667 123766.6667
21 24416.6667 124250.0000
22 24433.3333 122983.3333
23 24450.0000 122933.3333
24 24450.0000 124133.3333
25 24450.0000 124183.3333
26 24466.6667 123000.0000
27 24500.0000 124283.3333
28 24583.3333 124316.6667
29 24666.6667 124700.0000
30 24716.6667 125333.3333
31 24733.3333 125283.3333
32 24733.3333 125316.6667
33 24733.3333 125350.0000
34 24733.3333 125400.0000
35 24733.3333 125416.6667
36 24750.0000 125266.6667
37 24750.0000 125283.3333
38 24766.6667 125366.6667
39 24783.3333 125266.6667
40 24783.3333 125300.0000
41 24783.3333 141316.6667
42 24783.3333 141333.3333
43 24800.0000 125166.6667
44 24800.0000 125283.3333
45 24800.0000 141300.0000
46 24800.0000 141316.6667
47 24800.0000 141333.3333
48 24816.6667 125166.6667
49 24816.6667 125300.0000
50 24833.3333 125166.6667
51 24833.3333 125216.6667
52 24850.0000 125300.0000
53 24866.6667 125300.0000
54 24900.0000 125283.3333
55 25450.0000 141283.3333
56 25450.0000 141300.0000
57 25833.3333 131233.3333
58 25850.0000 131250.0000
59 25933.3333 131300.0000
60 25950.0000 131300.0000
61 26083.3333 127666.6667
62 26092.5000 127663.0556
63 26094.4444 127697.5000
64 26094.7222 127703.8889
65 26094.7222 127719.1667
66 26095.5556 127685.0000
67 26095.5556 127686.3889
68 26100.0000 127666.6667
69 26100.0000 127700.0000
70 26105.0000 127667.7778
71 26105.0000 127691.9444
72 26107.2222 127665.0000
73 26113.6111 127728.8889
74 26116.3889 127676.6667
75 26116.6667 127674.4444
76 26116.6667 127733.3333
77 26116.6667 127783.3333
78 26118.6111 127696.3889
79 26121.6667 127682.7778
80 26123.3333 127744.1667
81 26129.7222 127692.5000
82 26130.0000 127671.1111
83 26130.2778 127678.8889
84 26130.5556 127772.7778
85 26133.3333 127666.6667
86 26133.3333 127750.0000
87 26133.3333 127766.6667
88 26133.3333 127783.3333
89 26133.8889 127726.9444
90 26133.8889 127768.8889
91 26136.1111 127697.7778
92 26137.5000 127783.0556
93 26138.3333 127715.5556
94 26139.4444 127777.7778
95 26142.5000 127765.0000
96 26142.7778 127792.5000
97 26143.3333 127686.3889
98 26145.5556 127747.2222
99 26145.8333 127765.0000
100 26148.3333 127732.5000
101 26150.0000 127700.0000
102 26150.0000 127750.0000
103 26150.5556 127708.3333
104 26150.8333 127794.7222
105 26151.6667 127720.5556
106 26151.9444 127802.2222
107 26153.3333 127760.8333
108 26154.1667 127754.1667
109 26154.7222 127775.2778
110 26155.8333 127804.7222
111 26157.5000 127886.6667
112 26159.1667 127676.6667
113 26160.2778 127721.9444
114 26160.2778 127814.1667
115 26160.8333 127735.8333
116 26163.6111 127692.7778
117 26166.6667 127650.0000
118 26166.6667 127666.6667
119 26166.6667 127683.3333
120 26166.6667 127716.6667
121 26166.6667 127750.0000
122 26166.6667 127783.3333
123 26166.6667 127800.0000
124 26167.7778 127788.6111
